date,sp500,nikkei225,hangseng
2000-07-07,1478.9,17398.24,16830.0
2000-07-10,1475.62,17572.68,17238.7
2000-07-11,1480.88,17504.36,17359.7
2000-07-12,1492.92,17342.13,17552.3
2000-07-13,1495.84,17036.9,17449.5
2000-07-14,1509.98,17142.9,17586.2
2000-07-17,1510.49,17286.83,17834.8
2000-07-18,1493.74,16945.07,17440.8
2000-07-19,1481.96,16983.57,17710.1
2000-07-20,1495.57,,17758.5
2000-07-21,1480.19,16811.49,17920.9
2000-07-24,1464.29,16547.12,17659.7
2000-07-25,1474.47,16573.59,17375.3
2000-07-26,1452.42,16502.61,17620.2
2000-07-27,1449.62,16182.01,17450.1
2000-07-28,1419.89,15838.57,17183.9
2000-07-31,1430.83,15727.49,16841.0
2000-08-01,1438.1,16099.67,16897.4
2000-08-02,1438.7,16206.19,17277.4
2000-08-03,1452.56,15814.44,17274.3
2000-08-04,1462.93,15667.36,17425.7
2000-08-07,1479.32,16002.71,17727.2
2000-08-08,1482.8,15820.11,17211.8
2000-08-09,1472.87,16034.6,17182.0
2000-08-10,1460.25,15975.65,17333.2
2000-08-11,1471.84,16117.5,17214.4
2000-08-14,1491.56,16153.91,16997.3
2000-08-15,1484.43,16298.29,17463.5
2000-08-16,1479.85,16356.03,17734.2
2000-08-17,1496.07,16161.03,17622.0
2000-08-18,1491.72,16280.49,17440.0
2000-08-21,1499.48,16040.18,17501.5
2000-08-22,1498.13,16454.74,17668.3
2000-08-23,1505.97,16436.65,17427.4
2000-08-24,1508.31,16670.82,17439.7
2000-08-25,1506.45,16911.33,17236.7
2000-08-28,1514.09,17181.12,17019.8
2000-08-29,1509.84,17141.75,17240.1
2000-08-30,1502.59,16901.67,17095.9
2000-08-31,1517.68,16861.26,17097.5
2000-09-01,1520.77,16739.78,17333.6
2000-09-05,1507.08,16452.27,17595.2
2000-09-06,1492.25,16399.87,17605.2
2000-09-07,1502.51,16300.46,17431.9
2000-09-08,1494.5,16501.55,17275.4
2000-09-11,1489.26,16130.9,17008.0
