date,usd_lkr
2023-12-31,327.506533333333
2022-12-31,322.632674256475
2021-12-31,198.764316844656
2020-12-31,185.592557772213
2019-12-31,178.744925045848
2018-12-31,162.464858736778
2017-12-31,152.446413948767
2016-12-31,145.581667492026
2015-12-31,135.856912797089
2014-12-31,130.564685218829
2013-12-31,129.069030932888
2012-12-31,127.60335350681
2011-12-31,110.565207851396
2010-12-31,113.064480448821
2009-12-31,114.944783333333
2008-12-31,108.333762719298
2007-12-31,110.623233333333
2006-12-31,103.914445833333
2005-12-31,100.498051666667
2004-12-31,101.1944575
2003-12-31,96.5209508333333
2002-12-31,95.662065
2001-12-31,89.3830133333334
2000-12-31,77.0051166666667
1999-12-31,70.63545
1998-12-31,64.4501183333333
1997-12-31,58.994605
1996-12-31,55.2714441666667
1995-12-31,51.2515891666667
1994-12-31,49.4151416666667
1993-12-31,48.3221675
1992-12-31,43.829625
1991-12-31,41.3715
1990-12-31,40.0629166666667
1989-12-31,36.0470833333333
1988-12-31,31.80675
1987-12-31,29.44475
1986-12-31,28.01733333325
1985-12-31,27.162583333
1984-12-31,25.4381666660833
1983-12-31,23.5285833324167
1982-12-31,20.812249999
1981-12-31,19.2457499991667
1980-12-31,16.5344166661667
1979-12-31,15.5718333325833
1978-12-31,15.61066666575
1977-12-31,8.87283333266667
1976-12-31,8.41199999908333
1975-12-31,7.00716666566666
1974-12-31,6.650749999
1973-12-31,6.402499999
1972-12-31,5.97031718187335
1971-12-31,5.93494862096378
1970-12-31,5.95237000495237
1969-12-31,5.95237000495237
1968-12-31,5.95237000495237
1967-12-31,4.86110583679762
1966-12-31,4.7619000037619
1965-12-31,4.7619000037619
1964-12-31,4.7619000037619
1963-12-31,4.7619000037619
1962-12-31,4.7619000037619
1961-12-31,4.7619000037619
1960-12-31,4.7619000037619
